Loss,Temp,Iter
171317680,800,0
173000320,799.280029,1
174612016,798.56073,2
176248400,797.842041,3
177683504,797.124023,4
178988080,796.406616,5
180302736,795.68988,6
181630384,794.973755,7
182824880,794.258301,8
183922736,793.543518,9
184946256,792.829346,10
185983760,792.115845,11
186936528,791.402954,12
187772592,790.690735,13
188605904,789.979126,14
189308592,789.268188,15
189970928,788.557861,16
190565808,787.848206,17
191141712,787.13916,18
191637840,786.430786,19
192130576,785.723022,20
192500432,785.015869,21
192898640,784.309387,22
193255536,783.603516,23
193567312,782.898315,24
193796176,782.193726,25
193969168,781.489746,26
194125808,780.786438,27
194312176,780.08374,28
194428592,779.381714,29
194605776,778.680298,30
194646768,777.979492,31
194684336,777.279358,32
194698288,776.579834,33
194717136,775.88092,34
194700336,775.182678,35
194650096,774.485046,36
194485104,773.788025,37
194357488,773.091614,38
194251792,772.395874,39
194130224,771.700745,40
193978160,771.006226,41
193781552,770.312317,42
193593072,769.61908,43
193359952,768.926453,44
193091152,768.234436,45
192790960,767.54303,46
192490864,766.852234,47
192209392,766.162109,48
191997984,765.472595,49
191684528,764.783691,50
191353744,764.095398,51
191010880,763.407715,52
190680944,762.720642,53
190366960,762.034241,54
190039152,761.34845,55
189710928,760.663269,56
189339216,759.978699,57
188999456,759.294739,58
188577056,758.611389,59
188188032,757.92865,60
187827808,757.246521,61
187387200,756.565002,62
186981552,755.884094,63
186530320,755.203796,64
186132976,754.524109,65
185694704,753.845032,66
185274480,753.166565,67
184830720,752.488708,68
184363952,751.811462,69
183936976,751.134827,70
183477344,750.458801,71
183036064,749.783386,72
182582512,749.108582,73
182093344,748.434387,74
181635040,747.760803,75
181114656,747.08783,76
180646688,746.415466,77
180165632,745.743713,78
179683296,745.072571,79
179206624,744.402039,80
178733200,743.732117,81
178234992,743.062805,82
177774192,742.394043,83
177276976,741.725891,84
176773552,741.05835,85
176274912,740.391418,86
175742256,739.725098,87
175212528,739.059387,88
174686960,738.394226,89
174178112,737.729675,90
173651776,737.065735,91
173129760,736.402405,92
172591584,735.739685,93
172104320,735.077515,94
171575808,734.415955,95
171042432,733.755005,96
170491648,733.094666,97
169947920,732.434875,98
169415152,731.775696,99
168888064,731.117126,100
168338336,730.459167,101
167810272,729.801758,102
167300128,729.144958,103
166772768,728.48877,104
166265968,727.83313,105
165732752,727.178101,106
165200640,726.523682,107
164632224,725.869812,108
164093984,725.216553,109
163570976,724.563904,110
163026752,723.911804,111
162459888,723.260315,112
161924336,722.609375,113
161396736,721.959045,114
160855312,721.309326,115
160306288,720.660156,116
159744912,720.011597,117
159198192,719.363586,118
158656688,718.716187,119
158121392,718.069336,120
