edge_type:  EUC_2D
 Dimension: 100000 
Original Loss is:  991779712.000000 
Ending Temp: 0.000012 
 Loss | Temp | Iter | Time 
 27318750.000000 | 73732.210938 | 204 | 909.000000
 27498406.000000 | 73621.609375 | 205 | 913.000000
 27482450.000000 | 73511.179688 | 206 | 918.000000
 27295682.000000 | 73400.914062 | 207 | 922.000000
 27317884.000000 | 73290.812500 | 208 | 926.000000
 27353794.000000 | 73180.875000 | 209 | 931.000000
 27234006.000000 | 73071.101562 | 210 | 935.000000
 27256034.000000 | 72961.492188 | 211 | 940.000000
 27300054.000000 | 72852.046875 | 212 | 944.000000
 27117966.000000 | 72742.765625 | 213 | 949.000000
 27113794.000000 | 72633.648438 | 214 | 953.000000
 27317844.000000 | 72524.695312 | 215 | 958.000000
 27266476.000000 | 72415.906250 | 216 | 962.000000
 27268910.000000 | 72307.281250 | 217 | 967.000000
 27189534.000000 | 72198.820312 | 218 | 971.000000
 27201934.000000 | 72090.523438 | 219 | 975.000000
 27096004.000000 | 71982.390625 | 220 | 980.000000
 27017260.000000 | 71874.414062 | 221 | 984.000000
 26811242.000000 | 71766.601562 | 222 | 989.000000
 26987836.000000 | 71658.953125 | 223 | 993.000000
 27346524.000000 | 71551.460938 | 224 | 998.000000
 27147192.000000 | 71444.132812 | 225 | 1002.000000
 26916110.000000 | 71336.968750 | 226 | 1007.000000
 26522820.000000 | 71229.960938 | 227 | 1011.000000
 26450500.000000 | 71123.117188 | 228 | 1015.000000
 26313992.000000 | 71016.429688 | 229 | 1020.000000
 26281132.000000 | 70909.906250 | 230 | 1024.000000
 26451020.000000 | 70803.539062 | 231 | 1029.000000
 26779370.000000 | 70697.335938 | 232 | 1033.000000
 26690212.000000 | 70591.289062 | 233 | 1038.000000
 26563454.000000 | 70485.398438 | 234 | 1042.000000
 26506158.000000 | 70379.671875 | 235 | 1047.000000
 26690658.000000 | 70274.101562 | 236 | 1051.000000
 26736456.000000 | 70168.687500 | 237 | 1056.000000
 26273208.000000 | 70063.437500 | 238 | 1060.000000
 26604248.000000 | 69958.343750 | 239 | 1064.000000
 26547142.000000 | 69853.406250 | 240 | 1069.000000
 26607368.000000 | 69748.625000 | 241 | 1073.000000
