edge_type:  EUC_2D
 Dimension: 120000 
Original Loss is:  1231828352.000000 
Ending Temp: 0.000012 
 Loss | Temp | Iter | Time 
 1153939968.000000 | 100000.000000 | 1 | 5.000000
 1085090176.000000 | 99850.000000 | 2 | 10.000000
 1022296448.000000 | 99700.226562 | 3 | 14.000000
 963988032.000000 | 99550.671875 | 4 | 19.000000
 910475200.000000 | 99401.343750 | 5 | 24.000000
 861506048.000000 | 99252.242188 | 6 | 29.000000
 816244864.000000 | 99103.359375 | 7 | 33.000000
 774569024.000000 | 98954.703125 | 8 | 38.000000
 735273024.000000 | 98806.273438 | 9 | 43.000000
 699394624.000000 | 98658.062500 | 10 | 48.000000
 665818624.000000 | 98510.078125 | 11 | 53.000000
 634521664.000000 | 98362.312500 | 12 | 58.000000
 605348032.000000 | 98214.765625 | 13 | 62.000000
 577761088.000000 | 98067.445312 | 14 | 67.000000
 552044480.000000 | 97920.343750 | 15 | 72.000000
 527806208.000000 | 97773.460938 | 16 | 77.000000
 504868032.000000 | 97626.796875 | 17 | 82.000000
 483160416.000000 | 97480.359375 | 18 | 87.000000
 462444800.000000 | 97334.140625 | 19 | 92.000000
 442840064.000000 | 97188.140625 | 20 | 96.000000
 424387648.000000 | 97042.359375 | 21 | 101.000000
 407089280.000000 | 96896.796875 | 22 | 106.000000
 390420000.000000 | 96751.453125 | 23 | 111.000000
 374794752.000000 | 96606.328125 | 24 | 116.000000
 360018560.000000 | 96461.414062 | 25 | 121.000000
 345632864.000000 | 96316.718750 | 26 | 126.000000
 332060416.000000 | 96172.242188 | 27 | 130.000000
 318961536.000000 | 96027.984375 | 28 | 135.000000
 306658752.000000 | 95883.937500 | 29 | 140.000000
 294776928.000000 | 95740.109375 | 30 | 145.000000
 283566592.000000 | 95596.500000 | 31 | 150.000000
 273121120.000000 | 95453.101562 | 32 | 155.000000
 262782608.000000 | 95309.921875 | 33 | 160.000000
 252787264.000000 | 95166.953125 | 34 | 164.000000
 243845152.000000 | 95024.203125 | 35 | 169.000000
 234625760.000000 | 94881.664062 | 36 | 174.000000
 226095504.000000 | 94739.343750 | 37 | 179.000000
 217930688.000000 | 94597.234375 | 38 | 184.000000
 209977856.000000 | 94455.335938 | 39 | 189.000000
 202313856.000000 | 94313.648438 | 40 | 193.000000
 195461248.000000 | 94172.179688 | 41 | 198.000000
 188438656.000000 | 94030.921875 | 42 | 203.000000
 181708944.000000 | 93889.875000 | 43 | 208.000000
 175675360.000000 | 93749.039062 | 44 | 213.000000
 169653264.000000 | 93608.414062 | 45 | 218.000000
 163722576.000000 | 93468.000000 | 46 | 222.000000
 158116512.000000 | 93327.796875 | 47 | 227.000000
 152805664.000000 | 93187.804688 | 48 | 232.000000
 147660736.000000 | 93048.023438 | 49 | 237.000000
 142649232.000000 | 92908.453125 | 50 | 242.000000
 138034992.000000 | 92769.085938 | 51 | 247.000000
 133472552.000000 | 92629.929688 | 52 | 251.000000
 128951816.000000 | 92490.984375 | 53 | 256.000000
 124766680.000000 | 92352.250000 | 54 | 261.000000
 120731256.000000 | 92213.718750 | 55 | 266.000000
 116739480.000000 | 92075.398438 | 56 | 271.000000
 113104808.000000 | 91937.281250 | 57 | 276.000000
 109616912.000000 | 91799.375000 | 58 | 280.000000
 106192800.000000 | 91661.671875 | 59 | 285.000000
 102762920.000000 | 91524.179688 | 60 | 290.000000
 99778872.000000 | 91386.890625 | 61 | 295.000000
 96851168.000000 | 91249.812500 | 62 | 300.000000
 93876096.000000 | 91112.937500 | 63 | 305.000000
 90963000.000000 | 90976.265625 | 64 | 309.000000
 88404368.000000 | 90839.796875 | 65 | 314.000000
 85840936.000000 | 90703.539062 | 66 | 319.000000
 83282456.000000 | 90567.484375 | 67 | 324.000000
 80959376.000000 | 90431.632812 | 68 | 329.000000
 78633680.000000 | 90295.984375 | 69 | 334.000000
 76608128.000000 | 90160.539062 | 70 | 338.000000
 74776920.000000 | 90025.296875 | 71 | 343.000000
 72899984.000000 | 89890.257812 | 72 | 348.000000
 70928864.000000 | 89755.421875 | 73 | 353.000000
 69196936.000000 | 89620.789062 | 74 | 358.000000
 67674160.000000 | 89486.359375 | 75 | 363.000000
 65896260.000000 | 89352.125000 | 76 | 367.000000
 64427636.000000 | 89218.093750 | 77 | 372.000000
 62890224.000000 | 89084.265625 | 78 | 377.000000
 61551596.000000 | 88950.640625 | 79 | 382.000000
 60073056.000000 | 88817.210938 | 80 | 387.000000
 59050116.000000 | 88683.984375 | 81 | 392.000000
 57664860.000000 | 88550.960938 | 82 | 396.000000
 56809136.000000 | 88418.132812 | 83 | 401.000000
 55543272.000000 | 88285.507812 | 84 | 406.000000
 54543348.000000 | 88153.078125 | 85 | 411.000000
 53547816.000000 | 88020.843750 | 86 | 416.000000
 52649360.000000 | 87888.812500 | 87 | 421.000000
 51593868.000000 | 87756.976562 | 88 | 426.000000
 50712608.000000 | 87625.343750 | 89 | 430.000000
 49688856.000000 | 87493.906250 | 90 | 435.000000
 48918480.000000 | 87362.664062 | 91 | 440.000000
 48135440.000000 | 87231.617188 | 92 | 445.000000
 47410740.000000 | 87100.765625 | 93 | 450.000000
 46495644.000000 | 86970.117188 | 94 | 455.000000
 46311956.000000 | 86839.664062 | 95 | 459.000000
 45556840.000000 | 86709.406250 | 96 | 464.000000
 45170504.000000 | 86579.343750 | 97 | 469.000000
 44587140.000000 | 86449.476562 | 98 | 474.000000
 44002072.000000 | 86319.804688 | 99 | 479.000000
 43506316.000000 | 86190.320312 | 100 | 484.000000
 43301576.000000 | 86061.031250 | 101 | 489.000000
 42652724.000000 | 85931.937500 | 102 | 493.000000
 42055748.000000 | 85803.039062 | 103 | 498.000000
 41969164.000000 | 85674.335938 | 104 | 503.000000
 41269524.000000 | 85545.820312 | 105 | 508.000000
 41103616.000000 | 85417.500000 | 106 | 513.000000
 40674180.000000 | 85289.375000 | 107 | 518.000000
 40402108.000000 | 85161.437500 | 108 | 522.000000
 39948100.000000 | 85033.695312 | 109 | 527.000000
 39905364.000000 | 84906.140625 | 110 | 532.000000
 39575996.000000 | 84778.781250 | 111 | 537.000000
 39240676.000000 | 84651.609375 | 112 | 542.000000
 38886232.000000 | 84524.632812 | 113 | 547.000000
 38660952.000000 | 84397.843750 | 114 | 552.000000
 38687856.000000 | 84271.250000 | 115 | 556.000000
 38385852.000000 | 84144.843750 | 116 | 561.000000
 38262980.000000 | 84018.625000 | 117 | 566.000000
 37794140.000000 | 83892.593750 | 118 | 571.000000
 37525656.000000 | 83766.757812 | 119 | 576.000000
 37168672.000000 | 83641.109375 | 120 | 581.000000
 36822488.000000 | 83515.648438 | 121 | 585.000000
 36545308.000000 | 83390.375000 | 122 | 590.000000
 36401104.000000 | 83265.289062 | 123 | 595.000000
 36099200.000000 | 83140.390625 | 124 | 600.000000
 35781060.000000 | 83015.679688 | 125 | 605.000000
 35726740.000000 | 82891.156250 | 126 | 610.000000
 35789072.000000 | 82766.820312 | 127 | 615.000000
 35858972.000000 | 82642.671875 | 128 | 619.000000
 35278640.000000 | 82518.703125 | 129 | 624.000000
 35154120.000000 | 82394.921875 | 130 | 629.000000
 35225968.000000 | 82271.328125 | 131 | 634.000000
 35164520.000000 | 82147.921875 | 132 | 639.000000
 34957044.000000 | 82024.695312 | 133 | 644.000000
 34874364.000000 | 81901.656250 | 134 | 648.000000
 34820448.000000 | 81778.804688 | 135 | 653.000000
 34730384.000000 | 81656.132812 | 136 | 658.000000
 34691408.000000 | 81533.648438 | 137 | 663.000000
 34773628.000000 | 81411.343750 | 138 | 668.000000
 34799148.000000 | 81289.226562 | 139 | 673.000000
 34573808.000000 | 81167.289062 | 140 | 678.000000
 35002676.000000 | 81045.539062 | 141 | 682.000000
 35339020.000000 | 80923.968750 | 142 | 687.000000
 35234280.000000 | 80802.578125 | 143 | 692.000000
 35011980.000000 | 80681.375000 | 144 | 697.000000
 35042108.000000 | 80560.351562 | 145 | 702.000000
 34892884.000000 | 80439.507812 | 146 | 707.000000
 34928652.000000 | 80318.851562 | 147 | 711.000000
 34825304.000000 | 80198.375000 | 148 | 716.000000
 34801624.000000 | 80078.078125 | 149 | 721.000000
 34670504.000000 | 79957.960938 | 150 | 726.000000
 34565648.000000 | 79838.023438 | 151 | 731.000000
 34656156.000000 | 79718.265625 | 152 | 736.000000
 34587872.000000 | 79598.687500 | 153 | 741.000000
 34279652.000000 | 79479.289062 | 154 | 745.000000
 34316356.000000 | 79360.070312 | 155 | 750.000000
 34053800.000000 | 79241.031250 | 156 | 755.000000
 34015380.000000 | 79122.171875 | 157 | 760.000000
 34303360.000000 | 79003.484375 | 158 | 765.000000
 34167396.000000 | 78884.976562 | 159 | 770.000000
 33923032.000000 | 78766.648438 | 160 | 775.000000
 34102848.000000 | 78648.500000 | 161 | 779.000000
 34116580.000000 | 78530.523438 | 162 | 784.000000
 34081752.000000 | 78412.726562 | 163 | 789.000000
 34473508.000000 | 78295.109375 | 164 | 794.000000
 34493600.000000 | 78177.664062 | 165 | 799.000000
 34328772.000000 | 78060.398438 | 166 | 804.000000
 34094000.000000 | 77943.304688 | 167 | 808.000000
 34430780.000000 | 77826.390625 | 168 | 813.000000
