edge_type:  EUC_2D
 Dimension: 744710 
Original Loss is:  169551280.000000 
Ending Temp: 0.000012 
 Loss | Temp | Iter | Time 
 157177808.000000 | 100000.000000 | 1 | 10.000000
 145888688.000000 | 99850.000000 | 2 | 20.000000
 136356336.000000 | 99700.226562 | 3 | 30.000000
 128060320.000000 | 99550.671875 | 4 | 39.000000
 121077216.000000 | 99401.343750 | 5 | 49.000000
 115255872.000000 | 99252.242188 | 6 | 58.000000
 110289248.000000 | 99103.359375 | 7 | 68.000000
 105960944.000000 | 98954.703125 | 8 | 77.000000
 102073216.000000 | 98806.273438 | 9 | 87.000000
 98589632.000000 | 98658.062500 | 10 | 97.000000
 95559328.000000 | 98510.078125 | 11 | 106.000000
 92825936.000000 | 98362.312500 | 12 | 116.000000
 90242752.000000 | 98214.765625 | 13 | 125.000000
 87871984.000000 | 98067.445312 | 14 | 135.000000
 85873728.000000 | 97920.343750 | 15 | 145.000000
 83949408.000000 | 97773.460938 | 16 | 155.000000
 82140944.000000 | 97626.796875 | 17 | 164.000000
 80541344.000000 | 97480.359375 | 18 | 174.000000
 78931920.000000 | 97334.140625 | 19 | 184.000000
 77463648.000000 | 97188.140625 | 20 | 193.000000
 76053408.000000 | 97042.359375 | 21 | 203.000000
 74728736.000000 | 96896.796875 | 22 | 213.000000
 73559744.000000 | 96751.453125 | 23 | 223.000000
 72413888.000000 | 96606.328125 | 24 | 232.000000
 71269440.000000 | 96461.414062 | 25 | 242.000000
 70241480.000000 | 96316.718750 | 26 | 252.000000
 69308664.000000 | 96172.242188 | 27 | 262.000000
 68376768.000000 | 96027.984375 | 28 | 272.000000
 67468416.000000 | 95883.937500 | 29 | 281.000000
 66641584.000000 | 95740.109375 | 30 | 291.000000
 65826448.000000 | 95596.500000 | 31 | 301.000000
 65065256.000000 | 95453.101562 | 32 | 311.000000
 64323784.000000 | 95309.921875 | 33 | 321.000000
 63585368.000000 | 95166.953125 | 34 | 330.000000
 62902312.000000 | 95024.203125 | 35 | 340.000000
 62312424.000000 | 94881.664062 | 36 | 350.000000
 61720768.000000 | 94739.343750 | 37 | 360.000000
 61157472.000000 | 94597.234375 | 38 | 370.000000
 60627352.000000 | 94455.335938 | 39 | 380.000000
 60042668.000000 | 94313.648438 | 40 | 389.000000
 59522020.000000 | 94172.179688 | 41 | 399.000000
 58961084.000000 | 94030.921875 | 42 | 409.000000
 58455876.000000 | 93889.875000 | 43 | 419.000000
 57964052.000000 | 93749.039062 | 44 | 429.000000
 57511052.000000 | 93608.414062 | 45 | 439.000000
 57029900.000000 | 93468.000000 | 46 | 449.000000
 56691852.000000 | 93327.796875 | 47 | 459.000000
 56232964.000000 | 93187.804688 | 48 | 469.000000
 55864100.000000 | 93048.023438 | 49 | 478.000000
 55485540.000000 | 92908.453125 | 50 | 488.000000
 55099436.000000 | 92769.085938 | 51 | 498.000000
 54731972.000000 | 92629.929688 | 52 | 508.000000
 54394404.000000 | 92490.984375 | 53 | 518.000000
 53989332.000000 | 92352.250000 | 54 | 528.000000
 53751820.000000 | 92213.718750 | 55 | 538.000000
 53411500.000000 | 92075.398438 | 56 | 548.000000
 53063084.000000 | 91937.281250 | 57 | 558.000000
 52771324.000000 | 91799.375000 | 58 | 568.000000
 52455780.000000 | 91661.671875 | 59 | 578.000000
 52297756.000000 | 91524.179688 | 60 | 588.000000
 52087276.000000 | 91386.890625 | 61 | 598.000000
 51726436.000000 | 91249.812500 | 62 | 608.000000
 51421220.000000 | 91112.937500 | 63 | 618.000000
